Bestand   ;Bouwvergnr. (2);  ;Postcode;;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;Zaaknummer;Tabnaam;Omschrijving ;Datum vergunning ;Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;Gemeente;classificatiecode (5.1);Omschrijving classificatiecode ;Bron ;Omschrijving ;Gemeentecode;Bron classificatiecode ;KvK nummer;Omvang in MB;Bestandsformaat;;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;Aanmaakdatum bestand;Aggregatieniveau;Relatie ID;Checksum;Datum;Algoritme;Classificatie;;;;;;
GDB-0043-01;BR837-1947;Julianalaan;;Julianalaan Raamsdonksveer;Julianalaan;;;Julianalaan;;837;1947;NL-0834-470837;Beschikking;Bouwvergunning Beschikking vernieuwen schuur-timmerwerkplaats Julianalaan Raamsdonksveer 21-2-1947;1947.02.21;Vernieuwen schuur-timmerwerkplaats Julianalaan 21-2-1947;Bouwvergunning vernieuwen schuur-timmerwerkplaats Julianalaan Raamsdonksveer 21-2-1947;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.02.21;SHA-256;Niet vertrouwelijk ;;1947.02.21;NL-0834-470837;GDB-0043-01;GDB-0043-01;
GDB-0043-02;BR837-1947;Julianalaan;;Julianalaan Raamsdonksveer;Julianalaan;;;Julianalaan;;837;1947;NL-0834-470837;Tekening (technisch);Bouwvergunning tekening vernieuwen schuur-timmerwerkplaats Julianalaan Raamsdonksveer 21-2-1947;1947.02.21;Vernieuwen schuur-timmerwerkplaats Julianalaan 21-2-1947;Bouwvergunning Vernieuwen schuur-timmerwerkplaats Julianalaan 21-2-1947;raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.02.21;SHA-256;Niet vertrouwelijk ;;1947.02.21;NL-0834-470837;GDB-0043-02;GDB-0043-02;
GDB-0045-01;BR885-1947;Luiten Ambachtstraat;;Luiten Ambachtstraat Raamsdonk;Luiten Ambachtstraat;;;Luiten Ambachtstraat;;885;1947;NL-0834-470885;Beschikking;Bouwvergunning Beschikking herbouw woonhuis Luiten Ambachtstraat Raamsdonk  28-3-1947;1947.03.28;herbouw woonhuis Luiten Ambachtstraat Raamsdonk  28-3-1947;Bouwvergunning herbouw woonhuis Luiten Ambachtstraat Raamsdonk  28-3-1947;raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.03.28;SHA-256;Niet vertrouwelijk ;;1947.03.28;NL-0834-470885;GDB-0045-01;GDB-0045-01;
GDB-0045-02;BR885-1947;Luiten Ambachtstraat;;Luiten Ambachtstraat Raamsdonk;Luiten Ambachtstraat;;;Luiten Ambachtstraat;;885;1947;NL-0834-470885;Tekening (technisch);Bouwvergunning tekening herbouw woonhuis Luiten Ambachtstraat Raamsdonk  28-3-1947;1947.03.28;  herbouw woonhuis Luiten Ambachtstraat Raamsdonk  28-3-1947;Bouwvergunning herbouw woonhuis Luiten Ambachtstraat Raamsdonk  28-3-1947;raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.03.28;SHA-256;Niet vertrouwelijk ;;1947.03.28;NL-0834-470885;GDB-0045-02;GDB-0045-02;
GDB-0046-01;BR896-1947;bergenstraat;;Bergenstraat Raamsdonk;bergenstraat;;;bergenstraat;;896;1947;NL-0834-470896;Beschikking;Bouwvergunning beschikking herstellen voor en zijgevel landbouwschuur Bergenstraat Raamsdonk  02-5-1947;1947.05.02;  herstellen voor en zijgevel landbouwschuur Bergenstraat Raamsdonk  02-5-1947;Bouwvergunning  herstellen voor en zijgevel landbouwschuur Bergenstraat Raamsdonk  02-5-1947;raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.05.02;SHA-256;Niet vertrouwelijk ;;1947.05.02;NL-0834-470896;GDB-0046-01;GDB-0046-01;
GDB-0046-02;BR896-1947;bergenstraat;;Bergenstraat Raamsdonk;bergenstraat;;;bergenstraat;;896;1947;NL-0834-470896;Tekening (technisch);Bouwvergunning tekening herstellen voor en zijgevel landbouwschuur Bergenstraat Raamsdonk  02-5-1947;1947.05.02;  herstellen voor en zijgevel landbouwschuur Bergenstraat Raamsdonk  02-5-1947;Bouwvergunning herstellen voor en zijgevel landbouwschuur Bergenstraat Raamsdonk  02-5-1947;raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.05.02;SHA-256;Niet vertrouwelijk ;;1947.05.02;NL-0834-470896;GDB-0046-02;GDB-0046-02;
GDB-0047-01;BR898-1947;Prins Hendrikstraat;;Prins Hendrikstraat Raamsdonksveer;Prins Hendrikstraat;;;Prins Hendrikstraat;;898;1947;NL-0834-470898;Beschikking;Bouwvergunning beschikking verbouwen woning Prins Hendrikstraat  Raamsdonksveer   08-5-1947;1947.05.08;  verbouwen woning Prins Hendrikstraat  Raamsdonksveer   08-5-1947;Bouwvergunning  verbouwen woning Prins Hendrikstraat  Raamsdonksveer   08-5-1947;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.05.08;SHA-256;Niet vertrouwelijk ;;1947.05.08;NL-0834-470898;GDB-0047-01;GDB-0047-01;
GDB-0047-02;BR898-1947;Prins Hendrikstraat;;Prins Hendrikstraat Raamsdonksveer;Prins Hendrikstraat;;;Prins Hendrikstraat;;898;1947;NL-0834-470898;Tekening (technisch);Bouwvergunning tekening verbouwen woning Prins Hendrikstraat  Raamsdonksveer   08-5-1947;1947.05.08; tekening verbouwen woning Prins Hendrikstraat  Raamsdonksveer   08-5-1947;Bouwvergunning tekening verbouwen woning Prins Hendrikstraat  Raamsdonksveer   08-5-1947;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.05.08;SHA-256;Niet vertrouwelijk ;;1947.05.08;NL-0834-470898;GDB-0047-02;GDB-0047-02;
GDB-0048-01;BR934-1947;Laan;;Laan Raamsdonk;Laan;;;Laan;;934;1947;NL-0834-470934;Beschikking;Bouwvergunning beschikking bouwen schuurtje met varkensstal aan Laan te Raamsdonk   23-5-1947;1947.05.23;  bouwen schuurtje met varkensstal aan Laan te Raamsdonk   23-5-1947;Bouwvergunning bouwen schuurtje met varkensstal aan Laan te Raamsdonk   23-5-1947;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.05.23;SHA-256;Niet vertrouwelijk ;;1947.05.23;NL-0834-470934;GDB-0048-01;GDB-0048-01;
GDB-0048-02;BR934-1947;Laan;;Laan Raamsdonk;Laan;;;Laan;;934;1947;NL-0834-470934;Tekening (technisch);Bouwvergunning tekening bouwen schuurtje met varkensstal aan Laan te Raamsdonk   23-5-1947;1947.05.23;  bouwen schuurtje met varkensstal aan Laan te Raamsdonk   23-5-1947;Bouwvergunning  bouwen schuurtje met varkensstal aan Laan te Raamsdonk   23-5-1947;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.05.23;SHA-256;Niet vertrouwelijk ;;1947.05.23;NL-0834-470934;GDB-0048-02;GDB-0048-02;
