IdentificatieKenmerk;Naam;Classificatie_Code;Classificatie_Omschrijving;Classificatie_Bron;Classificatie_DatumOfPeriode;Dekking_InTijd_Begin;Dekking_InTijd_Eind;Dekking_GeografischGebied;Taal;Eventgeschiedenis_DatumOfPeriode;Eventgeschiedenis_Type;Eventgeschiedenis_VerantwoordelijkeFunctionaris;Context_Actor_IdentificatieKenmerk;Context_Actor_AggregatieNiveau;Context_Actor_GeautoriseerdeNaam;Context_Activiteit_Naam;Gebruiksrechten_OmschrijvingVoorwaarden;Gebruiksrechten_DatumOfPeriode;Vertrouwelijkheid_ClassificatieNiveau;Vertrouwelijkheid_DatumOfPeriode;Openbaarheid_OmschrijvingBeperkingen;Openbaarheid_DatumOfPeriode;Integriteit
NL-0784-BV000020551;het bouwen van een woning A. Weteringsstraat 28 08-07-2008;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;8-7-2008;8-7-2008;A.Weteringsstraat 28 5126WX Gilze;dut;8-7-2008;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;8-7-2008;Niet vertrouwelijk;8-7-2008;Openbaar;8-7-2008;Integer
NL-0784-BV000011428;oprichten van 2 halfvrijstaande woningen Aalstraat 56 A 13-06-1989;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;13-6-1989;13-6-1989;Aalstraat 56 A 5126CP Gilze,Aalstraat 56 B 5126CP Gilze;dut;13-6-1989;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;13-6-1989;Niet vertrouwelijk;13-6-1989;Openbaar;13-6-1989;Integer
NL-0784-BV000013369;bouwen van een woning Annie Romeinplein 17 11-04-1995;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;11-4-1995;11-4-1995;Annie Romeinplein 17 5122BT Rijen;dut;11-4-1995;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;11-4-1995;Niet vertrouwelijk;11-4-1995;Openbaar;11-4-1995;Integer
NL-0784-BV000020809;slopen varkenstallen Bavelseweg 3 09-03-1999;-1.733 323;Afbraak;basisarchiefcode;2009;9-3-1999;9-3-1999;Bavelseweg 3 5126NL Gilze;dut;9-3-1999;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;9-3-1999;Niet vertrouwelijk;9-3-1999;Openbaar;9-3-1999;Integer
NL-0784-BV000017437;het plaatsen van een antenne Bisschop de Vetplein 1 09-04-2002;-1.733.22;Bouw van woningen en gebouwen van bijzondere aard;basisarchiefcode;2009;9-4-2002;9-4-2002;Bisschop de Vetplein 1 5126CA Gilze;dut;9-4-2002;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;9-4-2002;Niet vertrouwelijk;9-4-2002;Openbaar;9-4-2002;Integer
NL-0784-BV000020227;het slopen van een stal en berging Broekdijk 48 05-04-2005;-1.733 323;Afbraak;basisarchiefcode;2009;5-4-2005;5-4-2005;Broekdijk 48 5125NE Hulten;dut;5-4-2005;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;5-4-2005;Niet vertrouwelijk;5-4-2005;Openbaar;5-4-2005;Integer
NL-0784-BV000016994;het bouwen van een garage naast de woning Broekstraat 17 08-01-2002;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;8-1-2002;8-1-2002;Broekstraat 17 5124NJ Molenschot;dut;8-1-2002;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;8-1-2002;Niet vertrouwelijk;8-1-2002;Openbaar;8-1-2002;Integer
NL-0784-BV000005129;bouw woning Broekstraat 75 12-01-1967;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;12-1-1967;12-1-1967;Broekstraat 75 5124NK Molenschot;dut;12-1-1967;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;12-1-1967;Niet vertrouwelijk;12-1-1967;Openbaar;12-1-1967;Integer
NL-0784-BV000000184;bouwen woonhuis en verloflokaal Chaamseweg 21 03-12-1913;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;3-12-1913;3-12-1913;Chaamseweg 21 5126NE Gilze;dut;3-12-1913;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;3-12-1913;Niet vertrouwelijk;3-12-1913;Openbaar;3-12-1913;Integer
NL-0784-BV000005401;bouw woning / verg.ex art.20 wederopbouwwet Churchillstraat 9 28-03-1968;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;28-3-1968;28-3-1968;Churchillstraat 9 5121AW Rijen;dut;28-3-1968;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;28-3-1968;Niet vertrouwelijk;28-3-1968;Openbaar;28-3-1968;Integer
