DossierId;Naam;Gebruiksrechten_OmschrijvingVoorwaarden;Gebruiksrechten_DatumOfPeriode;Vertrouwelijkheid_ClassificatieNiveau;Vertrouwelijkheid_DatumOfPeriode;Openbaarheid_OmschrijvingBeperkingen;Openbaarheid_DatumOfPeriode;Bestand_Vorm_Redactiegenre;Bestand_Formaat_Bestandsnaam;Bestand_Formaat_BestandsOmvang;Bestand_Formaat_BestandsFormaat;Bestand_Formaat_FysiekeIntegriteit_Algoritme;Bestand_Formaat_FysiekeIntegriteit_Waarde;Bestand_Formaat_FysiekeIntegriteit_DatumEnTijd;Bestand_Formaat_DatumAanmaak
NL-0784-BV000000411;bouwen stal voor varkens en mestvaalt Veenstraat 1 16-05-1923;Vrij te gebruiken;16-05-1923;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000000058.pdf;9900163;fmt/18;sha256;6024baa32d6a7f8ef10239d43c9dfd8b25a64b1fc8c9d34da7523ec5dbed9ac6;30-7-2015 12:50;20-08-2012
NL-0784-BV000000459;bouwen dokterswoning Stationsstraat 52 18-06-1924;Vrij te gebruiken;18-06-1924;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000000107.pdf;16172288;fmt/18;sha256;6c31a278e22b29447359d6beb3720379ee70346115c262993f8f285faee2370a;30-7-2015 12:59;20-08-2012
NL-0784-BV000000459;bouwen dokterswoning Stationsstraat 52 18-06-1924;Vrij te gebruiken;18-06-1924;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000000108.pdf;7683830;fmt/18;sha256;1b795a39987bb69f7da2137c2a04fbf64f0db74cd69816e6bf5d241a414fe1db;30-7-2015 12:59;20-08-2012
NL-0784-BV000000476;bouwen 2 arbeiderswoningen Raakeindse Kerkweg 91 06-09-1924;Vrij te gebruiken;06-09-1924;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000000123.pdf;4053769;fmt/18;sha256;48675d313e09cb6dda27b1fc79c3e759e8e69f0adf24e0f623b069a6068fae94;30-7-2015 13:02;20-08-2012
NL-0784-BV000000478;bouwen autoberging Pastoor Gillisstraat 8 17-09-1924;Vrij te gebruiken;17-09-1924;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000000125.pdf;6473439;fmt/18;sha256;c51efdfcf887b68938a25c8b7ea90fc9f01a07cf13f8aacd3bf97b2d86a62d9c;30-7-2015 13:02;20-08-2012
NL-0784-BV000000478;bouwen autoberging Pastoor Gillisstraat 8 17-09-1924;Vrij te gebruiken;17-09-1924;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000000126.pdf;4149714;fmt/18;sha256;0550704eb56b850968125b7139c2c337787f678fdccdd95286e63a5491199624;30-7-2015 13:02;20-08-2012
NL-0784-BV000000503;bouwen boerderij Schoolstraat 47 18-02-1925;Vrij te gebruiken;18-02-1925;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000000160.pdf;342064;fmt/18;sha256;10f454cec91834818e7a9c2be1d0241ac67868476eca41e9f2667327195a500f;30-7-2015 13:06;20-08-2012
NL-0784-BV000000503;bouwen boerderij Schoolstraat 47 18-02-1925;Vrij te gebruiken;18-02-1925;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000000161.pdf;9483701;fmt/18;sha256;e501fd9ae97e28e72f491b67cf95a91f03c3c0c8d64d1851f5b88a87306528e0;30-7-2015 13:06;20-08-2012
NL-0784-BV000000523;bouwen woonhuis Tuinstraat 40 06-05-1925;Vrij te gebruiken;06-05-1925;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000000201.pdf;362467;fmt/18;sha256;35a0c5d95436f811089565ee904d00f904ddf159fa4ae980084918bea8888615;30-7-2015 13:09;20-08-2012
NL-0784-BV000000523;bouwen woonhuis Tuinstraat 40 06-05-1925;Vrij te gebruiken;06-05-1925;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000000202.pdf;7252036;fmt/18;sha256;a806a7ed7eea15dc2d49cecf18cf9d4a816871f8abf412f1f1a8917c51e62377;30-7-2015 13:09;20-08-2012
NL-0784-BV000000557;bouwen schuur met kippenhok Hulteneindsestraat 18 08-10-1925;Vrij te gebruiken;08-10-1925;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000000267.pdf;302863;fmt/18;sha256;b8b945013898c901a9aa39bd3eafcb8fb605aae39420e7ae8ace167a1a483633;30-7-2015 13:16;23-08-2012
