DossierId;Naam;Gebruiksrechten_OmschrijvingVoorwaarden;Gebruiksrechten_DatumOfPeriode;Vertrouwelijkheid_ClassificatieNiveau;Vertrouwelijkheid_DatumOfPeriode;Openbaarheid_OmschrijvingBeperkingen;Openbaarheid_DatumOfPeriode;Bestand_Vorm_Redactiegenre;Bestand_Formaat_Bestandsnaam;Bestand_Formaat_BestandsOmvang;Bestand_Formaat_BestandsFormaat;Bestand_Formaat_FysiekeIntegriteit_Algoritme
NL-0784-BV000021255;het plaatsen van kantoor-werkplaatsunits en 7 opslagcontainers met een instandhoudingstermijn van m Rijksweg 121 14-04-2010;Vrij te gebruiken;14-04-2010;Geheim;14-04-2010;Beperkt openbaar;28-08-2118;Vergunning;B000113381.pdf;1599896;fmt/18;sha256
NL-0784-BV000021255;het plaatsen van kantoor-werkplaatsunits en 7 opslagcontainers met een instandhoudingstermijn van m Rijksweg 121 14-04-2010;Vrij te gebruiken;14-04-2010;Geheim;14-04-2010;Beperkt openbaar;28-08-2118;Aanvraag;B000113382.pdf;1875073;fmt/18;sha256
NL-0784-BV000021255;het plaatsen van kantoor-werkplaatsunits en 7 opslagcontainers met een instandhoudingstermijn van m Rijksweg 121 14-04-2010;Beschermd wegens rechten architect;14-04-2010;Geheim;14-04-2010;Beperkt openbaar;28-08-2118;Tekening (technisch);B000113383.pdf;2138634;fmt/18;sha256
NL-0784-BV000021255;het plaatsen van kantoor-werkplaatsunits en 7 opslagcontainers met een instandhoudingstermijn van m Rijksweg 121 14-04-2010;Vrij te gebruiken;14-04-2010;Geheim;14-04-2010;Beperkt openbaar;28-08-2118;Tekening (technisch);B000113384.pdf;19633902;fmt/18;sha256
NL-0784-BV000021255;het plaatsen van kantoor-werkplaatsunits en 7 opslagcontainers met een instandhoudingstermijn van m Rijksweg 121 14-04-2010;Beschermd wegens rechten architect;14-04-2010;Geheim;14-04-2010;Beperkt openbaar;28-08-2118;Tekening (technisch);B000113385.pdf;6859500;fmt/18;sha256
NL-0784-BV000021255;het plaatsen van kantoor-werkplaatsunits en 7 opslagcontainers met een instandhoudingstermijn van m Rijksweg 121 14-04-2010;Beschermd wegens rechten architect;14-04-2010;Geheim;14-04-2010;Beperkt openbaar;28-08-2118;Tekening (technisch);B000113386.pdf;8707487;fmt/18;sha256
NL-0784-BV000021255;het plaatsen van kantoor-werkplaatsunits en 7 opslagcontainers met een instandhoudingstermijn van m Rijksweg 121 14-04-2010;Vrij te gebruiken;14-04-2010;Geheim;14-04-2010;Beperkt openbaar;28-08-2118;Aanvulling;B000113387.pdf;62042024;fmt/18;sha256
NL-0784-BV000021255;het plaatsen van kantoor-werkplaatsunits en 7 opslagcontainers met een instandhoudingstermijn van m Rijksweg 121 14-04-2010;Vrij te gebruiken;14-04-2010;Geheim;14-04-2010;Beperkt openbaar;28-08-2118;Berekening;B000113388.pdf;2662295;fmt/18;sha256
NL-0784-BV000009314;verbouwen en vergroten gemeentehuis Raadhuisplein 1 WS 28-04-1981;Vrij te gebruiken;28-04-1981;Vertrouwelijk;28-04-1981;Beperkt openbaar;28-08-2118;Vergunning;B000114804.pdf;782727;fmt/18;sha256
NL-0784-BV000009314;verbouwen en vergroten gemeentehuis Raadhuisplein 1 WS 28-04-1981;Vrij te gebruiken;28-04-1981;Vertrouwelijk;28-04-1981;Beperkt openbaar;28-08-2118;Vergunning;B000114805.pdf;1590053;fmt/18;sha256
