Bestand   ;Bouwvergnr. (2);  ;Postcode;;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;Zaaknummer;Tabnaam;Omschrijving ;Datum vergunning ;Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;Gemeente;classificatiecode (5.1);Omschrijving classificatiecode ;Bron ;Omschrijving ;Gemeentecode;Bron classificatiecode ;KvK nummer;Omvang in MB;Bestandsformaat;;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;;Openbaar;Integer;Enkelvoudig;Aanmaakdatum bestand;Aggregatieniveau;Relatie ID;Checksum;Datum;Algoritme;Classificatie
GDB-6300-01;G001-1928;Markt;4931BT;Markt 54 Geertruidenberg;Markt;54;;Markt 54;4931BT;1;1928;NL-0779-280001;Beschikking;Bouwvergunning Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering Markt 54  Geertruidenberg 20-1-1928;1928.01.20;Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;Bouwvergunning Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering Markt 54  Geertruidenberg 20-1-1928;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;8,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;;;
GDB-6300-02;G001-1928;Markt;4931BT;Markt 54 Geertruidenberg;Markt;54;;Markt 54;4931BT;1;1928;NL-0779-280001;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering Markt 54  Geertruidenberg 20-1-1928;1928.01.20;Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;Bouwvergunning Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering Markt 54  Geertruidenberg 20-1-1928;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;1,9;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;;;
GDB-6301-01;G002-1928;Koestraat;4931CT;Koestraat 70 t/m 71 Geertruidenberg;Koestraat;70 t/m 71;;Koestraat 70 t/m 71;4931CT;2;1928;NL-0779-280002;Beschikking;Bouwvergunning Beschikking Bouw woonhuis Koestraat 70/71  Geertruidenberg 20-1-1928;1928.01.20;Bouw woonhuis;Bouwvergunning Bouw woonhuis Koestraat 70/71  Geertruidenberg 20-1-1928;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw woonhuis;NL 0779;2010;K50771752;8,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;;;
GDB-6301-02;G002-1928;Koestraat;4931CT;Koestraat 70 t/m 71 Geertruidenberg;Koestraat;70 t/m 71;;Koestraat 70 t/m71;4931CT;2;1928;NL-0779-280002;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw woonhuis Koestraat 70/71  Geertruidenberg 20-1-1928;1928.01.20;Bouw woonhuis;Bouwvergunning Bouw woonhuis Koestraat 70/71  Geertruidenberg 20-1-1928;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw woonhuis;NL 0779;2010;K50771752;9,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;;;
GDB-6302-01;G003-1928;Brandestraat;4931AV;Brandestraat 31 Geertruidenberg;Brandestraat;31;;Brandestraat 31;4931AV;3;1928;NL-0779-280003;Beschikking;Bouwvergunning Beschikking Vernieuwen achtergedeelte woonhuis Brandestraat 31 4931AV Geertruidenberg 10-2-1928;1928.02.10;Vernieuwen achtergedeelte woonhuis;Bouwvergunning Vernieuwen achtergedeelte woonhuis Brandestraat 31 4931AV Geertruidenberg 10-2-1928;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Vernieuwen achtergedeelte woonhuis;NL 0779;2010;K50771752;9;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;;;
GDB-6302-02;G003-1928;Brandestraat;4931AV;Brandestraat 31 Geertruidenberg;Brandestraat;31;;Brandestraat 31;4931AV;3;1928;NL-0779-280003;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Vernieuwen achtergedeelte woonhuis Brandestraat 31 4931AV Geertruidenberg 10-2-1928;1928.02.10;Vernieuwen achtergedeelte woonhuis;Bouwvergunning Vernieuwen achtergedeelte woonhuis Brandestraat 31 4931AV Geertruidenberg 10-2-1928;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Vernieuwen achtergedeelte woonhuis;NL 0779;2010;K50771752;6,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;;;
GDB-6303-01;G004-1928;Venestraat;4931BP;Venestraat 28 Geertruidenberg;Venestraat;28;;Venestraat 28;4931BP;4;1928;NL-0779-280004;Beschikking;Bouwvergunning Beschikking Uitbreiding Sint Agnesstichting Venestraat 28 4931BP Geertruidenberg 7-2-1928;1928.02.07;Uitbreiding Sint Agnesstichting;Bouwvergunning Uitbreiding Sint Agnesstichting Venestraat 28 4931BP Geertruidenberg 7-2-1928;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Uitbreiding Sint Agnesstichting;NL 0779;2010;K50771752;8,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;;;
GDB-6303-02;G004-1928;Venestraat;4931BP;Venestraat 28 Geertruidenberg;Venestraat;28;;Venestraat 28;4931BP;4;1928;NL-0779-280004;Tekening ( technisch );Bouwvergunning Beschikking Bouw woonhuis Venestraat 28 4931 BP Geertruidenberg;1928.02.07;Uitbreiding Sint Agnesstichting;Bouwvergunning Uitbreiding Sint Agnesstichting Venestraat 28 4931BP Geertruidenberg 7-2-1928;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Uitbreiding Sint Agnesstichting;NL 0779;2010;K50771752;28,2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;;;
GDB-6304-01;G005-1928;Stationstraat;;Stationstraat Geertruidenberg;Stationstraat;;;Stationstraat ;;5;1928;NL-0779-280005;Beschikking;Bouwvergunning Beschikking Bouw woonhuis Venestraat 28 4931 BP Geertruidenberg;1928.02.10;Bouw woonhuis;Bouwvergunning Bouw woonhuis Stationstraat Geertruidenberg 10-2-1928;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw woonhuis;NL 0779;2010;K50771752;8,2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;;;
GDB-6304-02;G005-1928;Stationstraat;;Stationstraat Geertruidenberg;Stationstraat;;;Stationstraat ;;5;1928;NL-0779-280005;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw woonhuis Stationstraat Geertruidenberg 10-2-1928;1928.02.10;Bouw woonhuis;Bouwvergunning Bouw woonhuis Stationstraat Geertruidenberg 10-2-1928;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw woonhuis;NL 0779;2010;K50771752;10,9;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;;;
