Bestand   ;Bouwvergnr. (2);  ;Postcode;;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;Zaaknummer;Tabnaam;Omschrijving ;Datum vergunning ;Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;Gemeente;classificatiecode (5.1);Omschrijving classificatiecode ;Bron ;Omschrijving ;Gemeentecode;Bron classificatiecode ;KvK nummer;Omvang in MB;Bestandsformaat;;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;Aanmaakdatum bestand;Aggregatieniveau;Relatie ID;Checksum;Datum;Algoritme;Classificatie
GDB-7799-01;G001-1976;Koestraat;4931CR; Koestraat 67 Geertruidenberg; Koestraat;67;;Koestraat 67;4931CR;1;1976;NL-0779-760001;Beschikking;Bouwvergunning Beschikking Veranderen gedeelte woning  Koestraat 67 4931CR Geertruidenberg 20-1-1976;1976.01.20;Veranderen gedeelte woning;Bouwvergunning Veranderen gedeelte woning  Koestraat 67 4931CR Geertruidenberg 20-1-1976;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Veranderen gedeelte woning;NL 0779;2010;K50771752;7,2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.10;Record;Archief ;;;;
GDB-7799-02;G001-1976;Koestraat;4931CR; Koestraat 67 Geertruidenberg; Koestraat;67;;Koestraat 67;4931CR;1;1976;NL-0779-760001;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Veranderen gedeelte woning  Koestraat 67 4931CR Geertruidenberg 20-1-1976;1976.01.20;Veranderen gedeelte woning;Bouwvergunning Veranderen gedeelte woning  Koestraat 67 4931CR Geertruidenberg 20-1-1976;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Veranderen gedeelte woning;NL 0779;2010;K50771752;14,3;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.11.10;Record;Archief ;;;;
GDB-7800-01;G001a-1976;Zuidwal;4931BW; Zuidwal 19 Geertruidenberg; Zuidwal;19;;Zuidwal 19;4931BW;1a;1976;NL-0779-760001A;Beschikking;Bouwvergunning Beschikking Veranderen café / bar  Zuidwal 19 4931BW Geertruidenberg 20-1-1976;1976.01.20;Veranderen café / bar;Bouwvergunning Veranderen café / bar  Zuidwal 19 4931BW Geertruidenberg 20-1-1976;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Veranderen café / bar;NL 0779;2010;K50771752;3,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.10;Record;Archief ;;;;
GDB-7800-02;G001a-1976;Zuidwal;4931BW; Zuidwal 19 Geertruidenberg; Zuidwal;19;;Zuidwal 19;4931BW;1a;1976;NL-0779-760001A;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Veranderen café / bar  Zuidwal 19 4931BW Geertruidenberg 20-1-1976;1976.01.20;Veranderen café / bar;Bouwvergunning Veranderen café / bar  Zuidwal 19 4931BW Geertruidenberg 20-1-1976;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Veranderen café / bar;NL 0779;2010;K50771752;4,9;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.11.10;Record;Archief ;;;;
GDB-7801-01;G002-1976;Poternestraat;4931CN; Poternestraat 11 Geertruidenberg; Poternestraat;11;;Poternestraat 11;4931CN;2;1976;NL-0779-760002;Beschikking;Bouwvergunning Beschikking Veranderen woning  Poternestraat 11 4931CN Geertruidenberg 27-1-1976;1976.01.27;Veranderen woning;Bouwvergunning Veranderen woning  Poternestraat 11 4931CN Geertruidenberg 27-1-1976;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Veranderen woning;NL 0779;2010;K50771752;5,4;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.10;Record;Archief ;;;;
GDB-7801-02;G002-1976;Poternestraat;4931CN; Poternestraat 11 Geertruidenberg; Poternestraat;11;;Poternestraat 11;4931CN;2;1976;NL-0779-760002;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Veranderen woning  Poternestraat 11 4931CN Geertruidenberg 27-1-1976;1976.01.27;Veranderen woning;Bouwvergunning Veranderen woning  Poternestraat 11 4931CN Geertruidenberg 27-1-1976;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Veranderen woning;NL 0779;2010;K50771752;16,8;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.11.10;Record;Archief ;;;;
GDB-7801-03;G002-1976;Poternestraat;4931CN; Poternestraat 11 Geertruidenberg; Poternestraat;11;;Poternestraat 11;4931CN;2;1976;NL-0779-760002;Overige documenten;Bouwvergunning Overige documenten Veranderen woning  Poternestraat 11 4931CN Geertruidenberg 27-1-1976;1976.01.27;Veranderen woning;Bouwvergunning Veranderen woning  Poternestraat 11 4931CN Geertruidenberg 27-1-1976;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Veranderen woning;NL 0779;2010;K50771752;3,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.10;Record;Archief ;;;;
GDB-7802-01;G003-1976;Lannoystraat;4931EN;de Lannoystraat 1 Geertruidenberg;de Lannoystraat;1;de;de Lannoystraat 1;4931EN;3;1976;NL-0779-760003;Beschikking;Bouwvergunning Beschikking Plaatsen dakkapel en vergroten berging de Lannoystraat 1 4931EN Geertruidenberg 27-1-1976;1976.01.27;Plaatsen dakkapel en vergroten berging;Bouwvergunning Plaatsen dakkapel en vergroten berging de Lannoystraat 1 4931EN Geertruidenberg 27-1-1976;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Plaatsen dakkapel en vergroten berging;NL 0779;2010;K50771752;4,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.10;Record;Archief ;;;;
GDB-7802-02;G003-1976;Lannoystraat;4931EN;de Lannoystraat 1 Geertruidenberg;de Lannoystraat;1;de;de Lannoystraat 1;4931EN;3;1976;NL-0779-760003;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Plaatsen dakkapel en vergroten berging de Lannoystraat 1 4931EN Geertruidenberg 27-1-1976;1976.01.27;Plaatsen dakkapel en vergroten berging;Bouwvergunning Plaatsen dakkapel en vergroten berging de Lannoystraat 1 4931EN Geertruidenberg 27-1-1976;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Plaatsen dakkapel en vergroten berging;NL 0779;2010;K50771752;13,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.11.10;Record;Archief ;;;;
GDB-7803-01;G004-1976;Wilhelminaplein;4931DA; Wilhelminaplein 15 t/m 17 Geertruidenberg; Wilhelminaplein;15 t/m 17;;Wilhelminaplein 15 t/m 17;4931DA;4;1976;NL-0779-760004;Beschikking;Bouwvergunning Beschikking Vernieuwen erfafscheiding  Wilhelminaplein 15-17  Geertruidenberg 27-1-1976;1976.01.27;Vernieuwen erfafscheiding;Bouwvergunning Vernieuwen erfafscheiding  Wilhelminaplein 15-17  Geertruidenberg 27-1-1976;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Vernieuwen erfafscheiding;NL 0779;2010;K50771752;4,8;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.10;Record;Archief ;;;;
