Bestand   ;Bouwvergnr. (2);  ;Postcode;;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;Zaaknummer;Tabnaam;Omschrijving ;Datum vergunning ;Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;Gemeente;classificatiecode (5.1);Omschrijving classificatiecode ;Bron ;Omschrijving ;Gemeentecode;Bron classificatiecode ;KvK nummer;Omvang in MB;Bestandsformaat;;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;Aanmaakdatum bestand;Aggregatieniveau;Relatie ID;Checksum;Datum;Algoritme;Classificatie;;;;;
GDB-1065-01;BR004-1963;Keizersdijk;4941GG; Keizersdijk 40 Raamsdonksveer; Keizersdijk;40;;Keizersdijk 40;4941GG;4;1963;NL-0834-630004;Beschikking;Bouwvergunning Beschikking Aanbrengen nieuw winkelraam en maken doorgang aan linkerzijde in winkelpand  Keizersdijk 40 4941GG Raamsdonksveer 11-1-1963;1963.01.11;Aanbrengen nieuw winkelraam en maken doorgang aan linkerzijde in winkelpand;Bouwvergunning Aanbrengen nieuw winkelraam en maken doorgang aan linkerzijde in winkelpand  Keizersdijk 40 4941GG Raamsdonksveer 11-1-1963;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Aanbrengen nieuw winkelraam en maken doorgang aan linkerzijde in winkelpand;NL 0834;2010;K50771752;1,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-1066-01;BR018-1963;Ambachtstraat;4944AT;Luiten Ambachtstraat 40 Raamsdonk;Luiten Ambachtstraat;40;Luiten;Luiten Ambachtstraat 40;4944AT;18;1963;NL-0834-630018;Beschikking;Bouwvergunning Beschikking Bouw druivenserre Luiten Ambachtstraat 40 4944AT Raamsdonk 1-2-1963;1963.02.01;Bouw druivenserre;Bouwvergunning Bouw druivenserre Luiten Ambachtstraat 40 4944AT Raamsdonk 1-2-1963;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw druivenserre;NL 0834;2010;K50771752;1,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-1066-02;BR018-1963;Ambachtstraat;4944AT;Luiten Ambachtstraat 40 Raamsdonk;Luiten Ambachtstraat;40;Luiten;Luiten Ambachtstraat 40;4944AT;18;1963;NL-0834-630018;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw druivenserre Luiten Ambachtstraat 40 4944AT Raamsdonk 1-2-1963;1963.02.01;Bouw druivenserre;Bouwvergunning Bouw druivenserre Luiten Ambachtstraat 40 4944AT Raamsdonk 1-2-1963;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw druivenserre;NL 0834;2010;K50771752;3,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-1067-01;BR019-1963;Omschoorweg;4941KN; Omschoorweg 3 Raamsdonksveer; Omschoorweg;3;;Omschoorweg 3;4941KN;19;1963;NL-0834-630019;Beschikking;Bouwvergunning Beschikking Bouw garage  Omschoorweg 3 4941KN Raamsdonksveer 7-2-1963;1963.02.07;Bouw garage;Bouwvergunning Bouw garage  Omschoorweg 3 4941KN Raamsdonksveer 7-2-1963;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw garage;NL 0834;2010;K50771752;1,4;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-1067-02;BR019-1963;Omschoorweg;4941KN; Omschoorweg 3 Raamsdonksveer; Omschoorweg;3;;Omschoorweg 3;4941KN;19;1963;NL-0834-630019;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw garage  Omschoorweg 3 4941KN Raamsdonksveer 7-2-1963;1963.02.07;Bouw garage;Bouwvergunning Bouw garage  Omschoorweg 3 4941KN Raamsdonksveer 7-2-1963;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw garage;NL 0834;2010;K50771752;4,1;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-1068-01;BR020-1963;Ambachtsherenlaan;4941AP; Ambachtsherenlaan 11 Raamsdonksveer; Ambachtsherenlaan;11;;Ambachtsherenlaan 11;4941AP;20;1963;NL-0834-630020;Beschikking;Bouwvergunning Beschikking Bouw garage  Ambachtsherenlaan 11 4941AP Raamsdonksveer 7-2-1963;1963.02.07;Bouw garage;Bouwvergunning Bouw garage  Ambachtsherenlaan 11 4941AP Raamsdonksveer 7-2-1963;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw garage;NL 0834;2010;K50771752;1,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-1068-02;BR020-1963;Ambachtsherenlaan;4941AP; Ambachtsherenlaan 11 Raamsdonksveer; Ambachtsherenlaan;11;;Ambachtsherenlaan 11;4941AP;20;1963;NL-0834-630020;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw garage  Ambachtsherenlaan 11 4941AP Raamsdonksveer 7-2-1963;1963.02.07;Bouw garage;Bouwvergunning Bouw garage  Ambachtsherenlaan 11 4941AP Raamsdonksveer 7-2-1963;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw garage;NL 0834;2010;K50771752;7,4;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-1069-01;BR021-1963;Stationstraat;4944AJ; Stationstraat 11 Raamsdonk; Stationstraat;11;;Stationstraat 11;4944AJ;21;1963;NL-0834-630021;Beschikking;Bouwvergunning Beschikking Verplaatsen raam- en deurkozijn  Stationstraat 11 4944AJ Raamsdonk 7-2-1963;1963.02.07;Verplaatsen raam- en deurkozijn;Bouwvergunning Verplaatsen raam- en deurkozijn  Stationstraat 11 4944AJ Raamsdonk 7-2-1963;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Verplaatsen raam- en deurkozijn;NL 0834;2010;K50771752;1,4;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-1069-02;BR021-1963;Stationstraat;4944AJ; Stationstraat 11 Raamsdonk; Stationstraat;11;;Stationstraat 11;4944AJ;21;1963;NL-0834-630021;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Verplaatsen raam- en deurkozijn  Stationstraat 11 4944AJ Raamsdonk 7-2-1963;1963.02.07;Verplaatsen raam- en deurkozijn;Bouwvergunning Verplaatsen raam- en deurkozijn  Stationstraat 11 4944AJ Raamsdonk 7-2-1963;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Verplaatsen raam- en deurkozijn;NL 0834;2010;K50771752;7,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-1070-01;BR022-1963;Ijzersteeg;;IJzersteeg 3 Raamsdonksveer;IJzersteeg;3;;IJzersteeg 3;;22;1963;NL-0834-630022;Beschikking;Bouwvergunning Beschikking Vernieuwen raamkozijn voorgevel IJzersteeg 3  Raamsdonksveer 7-2-1963;1963.02.07;Vernieuwen raamkozijn voorgevel;Bouwvergunning Vernieuwen raamkozijn voorgevel IJzersteeg 3  Raamsdonksveer 7-2-1963;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Vernieuwen raamkozijn voorgevel;NL 0834;2010;K50771752;1,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
