Bestand   ;Bouwvergnr. (2);  ;Postcode;;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;Zaaknummer;Tabnaam;Omschrijving ;Datum vergunning ;Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;Gemeente;classificatiecode (5.1);Omschrijving classificatiecode ;Bron ;Omschrijving ;Gemeentecode;Bron classificatiecode ;KvK nummer;Omvang in MB;Bestandsformaat;;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;Aanmaakdatum bestand;Aggregatieniveau;Relatie ID;Checksum;Datum;Algoritme;Classificatie;;;;;
GDB-2583-01;BR002-1975;Beethovenlaan/Schubertstraat;; Beethovenlaan/Schubertstraat  Raamsdonksveer; Beethovenlaan/Schubertstraat;;;Beethovenlaan/Schubertstraat;;2;1975;NL-0834-750002;Beschikking;Bouwvergunning Beschikking Bouw woonhuis met garage  Beethovenlaan/Schubertstraat   Raamsdonksveer 15-1-1975;1975.01.15;Bouw woonhuis met garage;Bouwvergunning Bouw woonhuis met garage  Beethovenlaan/Schubertstraat   Raamsdonksveer 15-1-1975;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw woonhuis met garage;NL 0834;2010;K50771752;4,3;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-2583-02;BR002-1975;Beethovenlaan/Schubertstraat;; Beethovenlaan/Schubertstraat  Raamsdonksveer; Beethovenlaan/Schubertstraat;;;Beethovenlaan/Schubertstraat;;2;1975;NL-0834-750002;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw woonhuis met garage  Beethovenlaan/Schubertstraat   Raamsdonksveer 15-1-1975;1975.01.15;Bouw woonhuis met garage;Bouwvergunning Bouw woonhuis met garage  Beethovenlaan/Schubertstraat   Raamsdonksveer 15-1-1975;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw woonhuis met garage;NL 0834;2010;K50771752;72,0;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-2585-01;BR004-1975;Poststraatje;4941 DA; Poststraatje 7 en 9 Raamsdonksveer; Poststraatje;7 en 9;;Poststraatje 7 en 9;4941 DA;4;1975;NL-0834-750004;Beschikking;Bouwvergunning Beschikking Samenvoegen 2 woningen tot 1 woning  Poststraatje 7 en 9  Raamsdonksveer 29-1-1975;1975.01.29;Samenvoegen 2 woningen tot 1 woning;Bouwvergunning Samenvoegen 2 woningen tot 1 woning  Poststraatje 7 en 9  Raamsdonksveer 29-1-1975;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Samenvoegen 2 woningen tot 1 woning;NL 0834;2010;K50771752;5,3;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-2585-02;BR004-1975;Poststraatje;4941 DA; Poststraatje 7 en 9 Raamsdonksveer; Poststraatje;7 en 9;;Poststraatje 7 en 9;4941DA;4;1975;NL-0834-750004;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Samenvoegen 2 woningen tot 1 woning  Poststraatje 7 en 9  Raamsdonksveer 29-1-1975;1975.01.29;Samenvoegen 2 woningen tot 1 woning;Bouwvergunning Samenvoegen 2 woningen tot 1 woning  Poststraatje 7 en 9  Raamsdonksveer 29-1-1975;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Samenvoegen 2 woningen tot 1 woning;NL 0834;2010;K50771752;20,3;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-2586-01;BR009-1975;Prinssenlaan;4941AK;Burgemeester Prinssenlaan 8 Raamsdonksveer;Burgemeester Prinssenlaan;8;Burgemeester;Burgemeester Prinssenlaan 8;4941AK;9;1975;NL-0834-750009;Beschikking;Bouwvergunning Beschikking Bouw woning met garage Burgemeester Prinssenlaan 8 4941AK Raamsdonksveer 15-1-1975;1975.01.15;Bouw woning met garage;Bouwvergunning Bouw woning met garage Burgemeester Prinssenlaan 8 4941AK Raamsdonksveer 15-1-1975;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw woning met garage;NL 0834;2010;K50771752;3,1;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-2586-02;BR009-1975;Prinssenlaan;4941AK;Burgemeester Prinssenlaan 8 Raamsdonksveer;Burgemeester Prinssenlaan;8;Burgemeester;Burgemeester Prinssenlaan 8;4941AK;9;1975;NL-0834-750009;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw woning met garage Burgemeester Prinssenlaan 8 4941AK Raamsdonksveer 15-1-1975;1975.01.15;Bouw woning met garage;Bouwvergunning Bouw woning met garage Burgemeester Prinssenlaan 8 4941AK Raamsdonksveer 15-1-1975;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw woning met garage;NL 0834;2010;K50771752;233,8;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-2586-03;BR009-1975;Prinssenlaan;4941AK;Burgemeester Prinssenlaan 8 Raamsdonksveer;Burgemeester Prinssenlaan;8;Burgemeester;Burgemeester Prinssenlaan 8;4941AK;9;1975;NL-0834-750009;Overige documenten;Bouwvergunning Overige documenten Bouw woning met garage Burgemeester Prinssenlaan 8 4941AK Raamsdonksveer 15-1-1975;1975.01.15;Bouw woning met garage;Bouwvergunning Bouw woning met garage Burgemeester Prinssenlaan 8 4941AK Raamsdonksveer 15-1-1975;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Bouw woning met garage;NL 0834;2010;K50771752;66,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-2587-01;BR010-1975;Ravelstraat;4941AB; Ravelstraat 6 Raamsdonksveer; Ravelstraat;6;;Ravelstraat 6;4941AB;10;1975;NL-0834-750010;Beschikking;Bouwvergunning Beschikking Aanbouwen berging tegen bestaande garage  Ravelstraat 6 4941AB Raamsdonksveer 29-1-1975;1975.01.29;Aanbouwen berging tegen bestaande garage;Bouwvergunning Aanbouwen berging tegen bestaande garage  Ravelstraat 6 4941AB Raamsdonksveer 29-1-1975;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Aanbouwen berging tegen bestaande garage;NL 0834;2010;K50771752;3,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-2587-02;BR010-1975;Ravelstraat;4941AB; Ravelstraat 6 Raamsdonksveer; Ravelstraat;6;;Ravelstraat 6;4941AB;10;1975;NL-0834-750010;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Aanbouwen berging tegen bestaande garage  Ravelstraat 6 4941AB Raamsdonksveer 29-1-1975;1975.01.29;Aanbouwen berging tegen bestaande garage;Bouwvergunning Aanbouwen berging tegen bestaande garage  Ravelstraat 6 4941AB Raamsdonksveer 29-1-1975;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Aanbouwen berging tegen bestaande garage;NL 0834;2010;K50771752;6,8;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-2588-01;BR011-1975;Landonk;4941BN; Landonk 86 Raamsdonksveer; Landonk;86;;Landonk 86;4941BN;11;1975;NL-0834-750011;Beschikking;Bouwvergunning Beschikking Bouw garage  Landonk 86 4941BN Raamsdonksveer 29-1-1975;1975.01.29;Bouw garage;Bouwvergunning Bouw garage  Landonk 86 4941BN Raamsdonksveer 29-1-1975;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw garage;NL 0834;2010;K50771752;7,2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
