Bestand   ;Bouwvergnr. (2);  ;Postcode;;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;Zaaknummer;Tabnaam;Omschrijving ;Datum vergunning ;Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;Gemeente;classificatiecode (5.1);Omschrijving classificatiecode ;Bron ;Omschrijving ;Gemeentecode;Bron classificatiecode ;KvK nummer;Omvang in MB;Bestandsformaat;;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;Aanmaakdatum bestand;Aggregatieniveau;Relatie ID;Checksum;Datum;Algoritme;Classificatie
GDB-3369-01;BR001-1980;Kerkstraat;4941DP;Grote Kerkstraat 44 Raamsdonksveer;Grote Kerkstraat;44;Grote;Grote Kerkstraat 44;4941DP;1;1980;NL-0834-800001;Beschikking;Bouwvergunning Beschikking Verbouwen winkelpand Grote Kerkstraat 44 4941DP Raamsdonksveer 14-1-1980;1980.01.14;Verbouwen winkelpand;Bouwvergunning Verbouwen winkelpand Grote Kerkstraat 44 4941DP Raamsdonksveer 14-1-1980;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Verbouwen winkelpand;NL 0834;2010;K50771752;3,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk 
GDB-3369-02;BR001-1980;Kerkstraat;4941DP;Grote Kerkstraat 44 Raamsdonksveer;Grote Kerkstraat;44;Grote;Grote Kerkstraat 44;4941DP;1;1980;NL-0834-800001;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Verbouwen winkelpand Grote Kerkstraat 44 4941DP Raamsdonksveer 14-1-1980;1980.01.14;Verbouwen winkelpand;Bouwvergunning Verbouwen winkelpand Grote Kerkstraat 44 4941DP Raamsdonksveer 14-1-1980;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Verbouwen winkelpand;NL 0834;2010;K50771752;20,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk 
GDB-3369-03;BR001-1980;Kerkstraat;4941DP;Grote Kerkstraat 44 Raamsdonksveer;Grote Kerkstraat;44;Grote;Grote Kerkstraat 44;4941DP;1;1980;NL-0834-800001;Overige documenten;Bouwvergunning Overige documenten Verbouwen winkelpand Grote Kerkstraat 44 4941DP Raamsdonksveer 14-1-1980;1980.01.14;Verbouwen winkelpand;Bouwvergunning Verbouwen winkelpand Grote Kerkstraat 44 4941DP Raamsdonksveer 14-1-1980;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Verbouwen winkelpand;NL 0834;2010;K50771752;3,3;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk 
GDB-3370-01;BR002-1980;Hertogshoef;4941KK; Hertogshoef 244 Raamsdonksveer; Hertogshoef;244;;Hertogshoef 244;4941KK;2;1980;NL-0834-800002;Beschikking;Bouwvergunning Beschikking Aanbouw bijkeuken  Hertogshoef 244 4941KK Raamsdonksveer 21-1-1980;1980.01.21;Aanbouw bijkeuken;Bouwvergunning Aanbouw bijkeuken  Hertogshoef 244 4941KK Raamsdonksveer 21-1-1980;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Aanbouw bijkeuken;NL 0834;2010;K50771752;4,0;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk 
GDB-3370-02;BR002-1980;Hertogshoef;4941KK; Hertogshoef 244 Raamsdonksveer; Hertogshoef;244;;Hertogshoef 244;4941KK;2;1980;NL-0834-800002;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Aanbouw bijkeuken  Hertogshoef 244 4941KK Raamsdonksveer 21-1-1980;1980.01.21;Aanbouw bijkeuken;Bouwvergunning Aanbouw bijkeuken  Hertogshoef 244 4941KK Raamsdonksveer 21-1-1980;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Aanbouw bijkeuken;NL 0834;2010;K50771752;5,3;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk 
GDB-3371-01;BR003-1980;Breetweerlaan;4942AA; Breetweerlaan 47 Raamsdonksveer; Breetweerlaan;47;;Breetweerlaan 47;4942AA;3;1980;NL-0834-800003;Beschikking;Bouwvergunning Beschikking Maken bijkeuken aan berging, erfafscheiding en tochtportaal  Breetweerlaan 47 4942AA Raamsdonksveer 21-1-1980;1980.01.21;Maken bijkeuken aan berging, erfafscheiding en tochtportaal;Bouwvergunning Maken bijkeuken aan berging, erfafscheiding en tochtportaal  Breetweerlaan 47 4942AA Raamsdonksveer 21-1-1980;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Maken bijkeuken aan berging, erfafscheiding en tochtportaal;NL 0834;2010;K50771752;4,2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk 
GDB-3371-02;BR003-1980;Breetweerlaan;4942AA; Breetweerlaan 47 Raamsdonksveer; Breetweerlaan;47;;Breetweerlaan 47;4942AA;3;1980;NL-0834-800003;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Maken bijkeuken aan berging, erfafscheiding en tochtportaal  Breetweerlaan 47 4942AA Raamsdonksveer 21-1-1980;1980.01.21;Maken bijkeuken aan berging, erfafscheiding en tochtportaal;Bouwvergunning Maken bijkeuken aan berging, erfafscheiding en tochtportaal  Breetweerlaan 47 4942AA Raamsdonksveer 21-1-1980;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Maken bijkeuken aan berging, erfafscheiding en tochtportaal;NL 0834;2010;K50771752;6,4;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk 
GDB-3372-01;BR004-1980;Bossen;4941JS;de Bossen 3 Raamsdonksveer;de Bossen;3;de;de Bossen 3;4941JS;4;1980;NL-0834-800004;Beschikking;Bouwvergunning Beschikking Oprichten carport de Bossen 3 4941JS Raamsdonksveer 28-1-1980;1980.01.28;Oprichten carport;Bouwvergunning Oprichten carport de Bossen 3 4941JS Raamsdonksveer 28-1-1980;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Oprichten carport;NL 0834;2010;K50771752;3,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk 
GDB-3372-02;BR004-1980;Bossen;4941JS;de Bossen 3 Raamsdonksveer;de Bossen;3;de;de Bossen 3;4941JS;4;1980;NL-0834-800004;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Oprichten carport de Bossen 3 4941JS Raamsdonksveer 28-1-1980;1980.01.28;Oprichten carport;Bouwvergunning Oprichten carport de Bossen 3 4941JS Raamsdonksveer 28-1-1980;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Oprichten carport;NL 0834;2010;K50771752;10,1;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk 
GDB-3373-01;BR005-1980;Rentmeesterstraat;4944WB;Rentmeestersstraat 11 Raamsdonk;Rentmeestersstraat;11;;Rentmeestersstraat 11;4944WB;5;1980;NL-0834-800005;Beschikking;Bouwvergunning Beschikking Vergroten berging Rentmeestersstraat 11 4944WB Raamsdonk 11-2-1980;1980.02.11;Vergroten berging;Bouwvergunning Vergroten berging Rentmeestersstraat 11 4944WB Raamsdonk 11-2-1980;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Vergroten berging;NL 0834;2010;K50771752;3,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk 
