Bestand   ;Bouwvergnr. (2);  ;Postcode;;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;Zaaknummer;Tabnaam;Omschrijving ;Datum vergunning ;Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;Gemeente;classificatiecode (5.1);Omschrijving classificatiecode ;Bron ;Omschrijving ;Gemeentecode;Bron classificatiecode ;KvK nummer;Omvang in MB;Bestandsformaat;;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;Aanmaakdatum bestand;Aggregatieniveau;Relatie ID;Checksum;Datum;Algoritme;Classificatie;;;;;
GDB-4128-02;BR001-1985;Heemraadsingel;4944VD; Heemraadsingel 26 Raamsdonk; Heemraadsingel;26;;Heemraadsingel 26;4944VD;1;1985;NL-0834-850001;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw duivenhok  Heemraadsingel 26 4944VD Raamsdonk 8-1-1985;1985.01.08;Bouw duivenhok;Bouwvergunning Bouw duivenhok  Heemraadsingel 26 4944VD Raamsdonk 8-1-1985;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw duivenhok;NL 0834;2010;K50771752;14,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4129-01;BR002-1985;Raadhuisstraat;4944VG; Raadhuisstraat 53 Raamsdonk; Raadhuisstraat;53;;Raadhuisstraat 53;4944VG;2;1985;NL-0834-850002;Beschikking;Bouwvergunning Beschikking Veranderen duivenhok  Raadhuisstraat 53 4944VG Raamsdonk 8-1-1985;1985.01.08;Veranderen duivenhok;Bouwvergunning Veranderen duivenhok  Raadhuisstraat 53 4944VG Raamsdonk 8-1-1985;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Veranderen duivenhok;NL 0834;2010;K50771752;3,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4129-02;BR002-1985;Raadhuisstraat;4944VG; Raadhuisstraat 53 Raamsdonk; Raadhuisstraat;53;;Raadhuisstraat 53;4944VG;2;1985;NL-0834-850002;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Veranderen duivenhok  Raadhuisstraat 53 4944VG Raamsdonk 8-1-1985;1985.01.08;Veranderen duivenhok;Bouwvergunning Veranderen duivenhok  Raadhuisstraat 53 4944VG Raamsdonk 8-1-1985;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Veranderen duivenhok;NL 0834;2010;K50771752;10,2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4130-01;BR003-1985;Ambachtsherenlaan;4941AP; Ambachtsherenlaan 15 Raamsdonksveer; Ambachtsherenlaan;15;;Ambachtsherenlaan 15;4941AP;3;1985;NL-0834-850003;Beschikking;Bouwvergunning Beschikking Bouw tochtportaal  Ambachtsherenlaan 15 4941AP Raamsdonksveer 15-1-1985;1985.01.15;Bouw tochtportaal;Bouwvergunning Bouw tochtportaal  Ambachtsherenlaan 15 4941AP Raamsdonksveer 15-1-1985;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw tochtportaal;NL 0834;2010;K50771752;3,8;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4130-02;BR003-1985;Ambachtsherenlaan;4941AP; Ambachtsherenlaan 15 Raamsdonksveer; Ambachtsherenlaan;15;;Ambachtsherenlaan 15;4941AP;3;1985;NL-0834-850003;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw tochtportaal  Ambachtsherenlaan 15 4941AP Raamsdonksveer 15-1-1985;1985.01.15;Bouw tochtportaal;Bouwvergunning Bouw tochtportaal  Ambachtsherenlaan 15 4941AP Raamsdonksveer 15-1-1985;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw tochtportaal;NL 0834;2010;K50771752;6,1;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4131-01;BR004-1985;Melkhaven;4944AN;de Oude Melkhaven 17 t/m 31 Raamsdonk;de Oude Melkhaven;17 t/m 31;Oude;de Oude Melkhaven 17 t/m 31;4944AN;4;1985;NL-0834-850004;Beschikking;Bouwvergunning Beschikking Bouw 8 eengezinswoningen de Oude Melkhaven 17 t/m 31  Raamsdonk 15-1-1985;1985.01.15;Bouw 8 eengezinswoningen;Bouwvergunning Bouw 8 eengezinswoningen de Oude Melkhaven 17 t/m 31  Raamsdonk 15-1-1985;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw 8 eengezinswoningen;NL 0834;2010;K50771752;7,4;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4131-02;BR004-1985;Melkhaven;4944AN;de Oude Melkhaven 17 t/m 31 Raamsdonk;de Oude Melkhaven;17 t/m 31;Oude;de Oude Melkhaven 17 t/m 31;4944AN;4;1985;NL-0834-850004;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw 8 eengezinswoningen de Oude Melkhaven 17 t/m 31  Raamsdonk 15-1-1985;1985.01.15;Bouw 8 eengezinswoningen;Bouwvergunning Bouw 8 eengezinswoningen de Oude Melkhaven 17 t/m 31  Raamsdonk 15-1-1985;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw 8 eengezinswoningen;NL 0834;2010;K50771752;107,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4131-03;BR004-1985;Melkhaven;4944AN;de Oude Melkhaven 17 t/m 31 Raamsdonk;de Oude Melkhaven;17 t/m 31;Oude;de Oude Melkhaven 17 t/m 31;4944AN;4;1985;NL-0834-850004;Overige documenten;Bouwvergunning Overige documenten Bouw 8 eengezinswoningen de Oude Melkhaven 17 t/m 31  Raamsdonk 15-1-1985;1985.01.15;Bouw 8 eengezinswoningen;Bouwvergunning Bouw 8 eengezinswoningen de Oude Melkhaven 17 t/m 31  Raamsdonk 15-1-1985;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Bouw 8 eengezinswoningen;NL 0834;2010;K50771752;28,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4132-01;BR005-1985;Sterrekroos;4941VZ; Sterrekroos 10 Raamsdonksveer; Sterrekroos;10;;Sterrekroos 10;4941VZ;5;1985;NL-0834-850005;Beschikking;Bouwvergunning Beschikking Uitbreiden bedrijfsruimte  Sterrekroos 10 4941VZ Raamsdonksveer 21-1-1985;1985.01.21;Uitbreiden bedrijfsruimte;Bouwvergunning Uitbreiden bedrijfsruimte  Sterrekroos 10 4941VZ Raamsdonksveer 21-1-1985;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Uitbreiden bedrijfsruimte;NL 0834;2010;K50771752;3,8;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4132-02;BR005-1985;Sterrekroos;4941VZ; Sterrekroos 10 Raamsdonksveer; Sterrekroos;10;;Sterrekroos 10;4941VZ;5;1985;NL-0834-850005;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Uitbreiden bedrijfsruimte  Sterrekroos 10 4941VZ Raamsdonksveer 21-1-1985;1985.01.21;Uitbreiden bedrijfsruimte;Bouwvergunning Uitbreiden bedrijfsruimte  Sterrekroos 10 4941VZ Raamsdonksveer 21-1-1985;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Uitbreiden bedrijfsruimte;NL 0834;2010;K50771752;134,9;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
