Bestand   ;Bouwvergnr. (2);  ;Postcode;;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;Zaaknummer;Tabnaam;Omschrijving ;Datum vergunning ;Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;Gemeente;classificatiecode (5.1);Omschrijving classificatiecode ;Bron ;Omschrijving ;Gemeentecode;Bron classificatiecode ;KvK nummer;Omvang in MB;Bestandsformaat;;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;Aanmaakdatum bestand;Aggregatieniveau;Relatie ID;Checksum;Datum;Algoritme;Classificatie;;1993.01.07;NL-0834-931001;GDB-9248-01;GDB-9248-01
GDB-9248-01;;;;Rembrandtlaan ong te Raamsdonksveer ;;;;;;;;NL-0834-931001;Beschikking;Melding beschikking oprichten trafostation Rembrandtlaan ong te Raamsdonksveer 7-1-1993;1993.01.07;oprichten trafostation Rembrandtlaan ong te Raamsdonksveer 7-1-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;b6ca7183fc85eb7328bfbaa649fd10107f2d0f96;;SHA-1;Niet vertrouwelijk ;;1993.01.07;NL-0834-931001;GDB-9248-02;GDB-9248-02
GDB-9248-02;;;;Rembrandtlaan ong te Raamsdonksveer ;;;;;;;;NL-0834-931001;Tekening (technisch);Melding tekening oprichten trafostation Rembrandtlaan ong te Raamsdonksveer 7-1-1993;1993.01.07;oprichten trafostation Rembrandtlaan ong te Raamsdonksveer 7-1-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;31b674f518459b7c8a6f1da6fa974c4a2218b256;;SHA-1;Niet vertrouwelijk ;;1993.01.07;NL-0834-931002;GDB-9249-01;GDB-9249-01
GDB-9249-01;;;4941 VJ;Rijvoortshoef 274  Raamsdonksveer;;;;;;;;NL-0834-931002;Beschikking;Melding beschikking oprichten schuur Rijvoortshoef 274  Raamsdonksveer 7-1-1993;1993.01.07;oprichten schuur Rijvoortshoef 274  Raamsdonksveer 7-1-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;161066af79a094efd1d3b5092689a08c338e8f4b;;SHA-1;Niet vertrouwelijk ;;1993.01.07;NL-0834-931002;GDB-9249-02;GDB-9249-02
GDB-9249-02;;;4941 VJ;Rijvoortshoef 274  Raamsdonksveer;;;;;;;;NL-0834-931002;Tekening (technisch);Melding tekening  oprichten schuur Rijvoortshoef 274  Raamsdonksveer 7-1-1993;1993.01.07;oprichten schuur Rijvoortshoef 274  Raamsdonksveer 7-1-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;db10de9b598df56ae437bede2adfbd3bca737a19;;SHA-1;Niet vertrouwelijk ;;1993.01.27;NL-0834-931003;GDB-9250-01;GDB-9250-01
GDB-9250-01;;;4944 WB;Rentmeesterstraat 29 Raamsdonk;;;;;;;;NL-0834-931003;Beschikking;Melding beschikking oprichten bijkeuken Rentmeesterstraat 29  Raamsdonk 27-1-1993;1993.01.27;oprichten bijkeuken Rentmeesterstraat 29  Raamsdonk 27-1-1993;;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;8f6f02a3b332e091862d1bade570bf5fdcadd3aa;;SHA-1;Niet vertrouwelijk ;;1993.01.27;NL-0834-931003;GDB-9250-02;GDB-9250-02
GDB-9250-02;;;4944 WB;Rentmeesterstraat 29 Raamsdonk;;;;;;;;NL-0834-931003;Tekening (technisch);Melding tekening oprichten bijkeuken Rentmeesterstraat 29  Raamsdonk 27-1-1993;1993.01.27;oprichten bijkeuken Rentmeesterstraat 29  Raamsdonk 27-1-1993;;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;e2a4158c4c1b0beb3ba727dc2f6fceb095c41e04;;SHA-1;Niet vertrouwelijk ;;1993.01.28;NL-0834-931004;GDB-9251-01;GDB-9251-01
GDB-9251-01;;;4942 DD;P.C. Hooftlaan 3 Raamsdonksveer;;;;;;;;NL-0834-931004;Beschikking;Melding beschikking oprichten tuinhuisje P.C. Hooftlaan 3 Raamsdonksveer 28-1-1993;1993.01.28;oprichten tuinhuisje P.C. Hooftlaan 3 Raamsdonksveer 28-1-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;60dd441214d15b36c774b8c2732549cb6c442cfb;;SHA-1;Niet vertrouwelijk ;;1993.01.28;NL-0834-931004;GDB-9251-02;GDB-9251-02
GDB-9251-02;;;4942 DD;P.C. Hooftlaan 3 Raamsdonksveer;;;;;;;;NL-0834-931004;Tekening (technisch);Melding tekening oprichten tuinhuisje P.C. Hooftlaan 3 Raamsdonksveer 28-1-1993;1993.01.28;oprichten tuinhuisje P.C. Hooftlaan 3 Raamsdonksveer 28-1-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;417ba3fb8e249551fff49f2e9573156cd5c3099a;;SHA-1;Niet vertrouwelijk ;;1993.03.29;NL-0834-931005;GDB-9252-01;GDB-9252-01
GDB-9252-01;;;4942 CG;Schapendonk 110 Raamsdonksveer;;;;;;;;NL-0834-931005;Beschikking;Melding beschikking vergroten woning Schapendonk 110  Raamsdonksveer 29-3-1993;1993.03.29;vergroten woning Schapendonk 110  Raamsdonksveer 29-3-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;5af2b932630cd43440ecca49c6833a9ce2ad627e;;SHA-1;Niet vertrouwelijk ;;1993.03.29;NL-0834-931005;GDB-9252-02;GDB-9252-02
GDB-9252-02;;;4942 CG;Schapendonk 110 Raamsdonksveer;;;;;;;;NL-0834-931005;Tekening (technisch);Melding tekening vergroten woning Schapendonk 110  Raamsdonksveer 29-3-1993;1993.03.29;vergroten woning Schapendonk 110  Raamsdonksveer 29-3-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;52e773e24ade97f0f455525d0bba9e820fd7b0d4;;SHA-1;Niet vertrouwelijk ;;1993.03.29;NL-0834-931006;GDB-9253-01;GDB-9253-01
GDB-9253-01;;;4942 DM;Simon Vestdijkstraat 33 Raamsdonksveer;;;;;;;;NL-0834-931006;Beschikking;Melding beschikking oprichten berging Simon Vestdijkstraat 33  Raamsdonksveer 29-3-1993;1993.03.29;oprichten berging Simon Vestdijkstraat 33  Raamsdonksveer 29-3-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;902fa493a69f6ea5b6e4cb5a2d8c7c978b0d3495;;SHA-1;Niet vertrouwelijk ;;1993.03.29;NL-0834-931006;GDB-9253-02;GDB-9253-02
GDB-9253-02;;;4942 DM;Simon Vestdijkstraat 33 Raamsdonksveer;;;;;;;;NL-0834-931006;Tekening (technisch);Melding tekening oprichten berging Simon Vestdijkstraat 33  Raamsdonksveer 29-3-1993;1993.03.29;oprichten berging Simon Vestdijkstraat 33  Raamsdonksveer 29-3-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;69f0eb858b20a57ad8c735e4255a993666c482b0;;SHA-1;Niet vertrouwelijk ;;1993.03.29;NL-0834-931007;GDB-9254-01;GDB-9254-01
GDB-9254-01;;;4941 TN;Benraatshoef 222 Raamsdonksveer;;;;;;;;NL-0834-931007;Beschikking;Melding beschikking oprichten berging Benraatshoef 222  Raamsdonksveer 29-3-1993;1993.03.29;oprichten berging Benraatshoef 222  Raamsdonksveer 29-3-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;0d97ccd726fbcd606149f4a795d7b422f4044de7;;SHA-1;Niet vertrouwelijk ;;1993.03.29;NL-0834-931007;GDB-9254-02;GDB-9254-02
GDB-9254-02;;;4941 TN;Benraatshoef 222 Raamsdonksveer;;;;;;;;NL-0834-931007;Tekening (technisch);Melding tekening oprichten berging Benraatshoef 222  Raamsdonksveer 29-3-1993;1993.03.29;oprichten berging Benraatshoef 222  Raamsdonksveer 29-3-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;465715adfb3e58aad10b7d1ae328f4b3d270acfc;;SHA-1;Niet vertrouwelijk ;;1993.03.30;NL-0834-931008;GDB-9255-01;GDB-9255-01
GDB-9255-01;;;4942 DM;Simon Vestdijkstraat 18 Raamsdonksveer;;;;;;;;NL-0834-931008;Beschikking;Melding beschikking oprichten schuur Simon Vestdijkstraat 18  Raamsdonksveer 30-3-1993;1993.03.30;oprichten schuur Simon Vestdijkstraat 18  Raamsdonksveer 30-3-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;dadd0214ee51ba3170e075f2b076c54b9760f3b7;;SHA-1;Niet vertrouwelijk ;;1993.03.30;NL-0834-931008;GDB-9255-02;GDB-9255-02
GDB-9255-02;;;4942 DM;Simon Vestdijkstraat 18 Raamsdonksveer;;;;;;;;NL-0834-931008;Tekening (technisch);Melding tekening oprichten schuur Simon Vestdijkstraat 18  Raamsdonksveer 30-3-1993;1993.03.30;oprichten schuur Simon Vestdijkstraat 18  Raamsdonksveer 30-3-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;19bfdaa3ab6315e505d5ac0be7aace96f06039ce;;SHA-1;Niet vertrouwelijk ;;1993.03.30;NL-0834-931009;GDB-9256-01;GDB-9256-01
GDB-9256-01;;;4942 DM;Simon Vestdijkstraat 16 Raamsdonksveer;;;;;;;;NL-0834-931009;Beschikking;Melding beschikking oprichten schuur Simon Vestdijkstraat 16  Raamsdonksveer 30-3-1993;1993.03.30;oprichten schuur Simon Vestdijkstraat 16  Raamsdonksveer 30-3-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;fc8332b57af7e5bd0998c4e95865c41a4681afcc;;SHA-1;Niet vertrouwelijk ;;1993.03.30;NL-0834-931009;GDB-9256-02;GDB-9256-02
GDB-9256-02;;;4942 DM;Simon Vestdijkstraat 16 Raamsdonksveer;;;;;;;;NL-0834-931009;Tekening (technisch);Melding tekening oprichten schuur Simon Vestdijkstraat 16  Raamsdonksveer 30-3-1993;1993.03.30;oprichten schuur Simon Vestdijkstraat 16  Raamsdonksveer 30-3-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;d5cab93606ff58874d5ed356f574af1fce851f5c;;SHA-1;Niet vertrouwelijk ;;1993.04.05;NL-0834-931010;GDB-9257-01;GDB-9257-01
GDB-9257-01;;;4942 AH;Gijselsweer 41 Raamsdonksveer;;;;;;;;NL-0834-931010;Beschikking;Melding beschikking oprichten schuur Gijselsweer 41 Raamsdonksveer 5-4-1993;1993.04.05;oprichten schuur Gijselsweer 41 Raamsdonksveer 5-4-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;5bd3676357616ae6bdb0e76759bacbb50f765b58;;SHA-1;Niet vertrouwelijk ;;1993.04.05;NL-0834-931010;GDB-9257-02;GDB-9257-02
GDB-9257-02;;;4942 AH;Gijselsweer 41 Raamsdonksveer;;;;;;;;NL-0834-931010;Tekening (technisch);Melding tekening oprichten schuur Gijselsweer 41 Raamsdonksveer 5-4-1993;1993.04.05;oprichten schuur Gijselsweer 41 Raamsdonksveer 5-4-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;d1c3205ee3c6b789a67e91b30142b10cb82f706f;;SHA-1;Niet vertrouwelijk ;;1993.04.05;NL-0834-931011;GDB-9258-01;GDB-9258-01
GDB-9258-01;;;4941 AK;Burgemeester Prinssenlaan 12 Raamsdonksveer;;;;;;;;NL-0834-931011;Beschikking;Melding beschikking vergroten woning  Burgemeester Prinssenlaan 12 Raamsdonksveer 5-4-1993;1993.04.05;vergroten woning  Burgemeester Prinssenlaan 12 Raamsdonksveer 5-4-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;1127918fedd74405a6953b7090737909ec2f5821;;SHA-1;Niet vertrouwelijk ;;1993.04.05;NL-0834-931011;GDB-9258-02;GDB-9258-02
GDB-9258-02;;;4941 AK;Burgemeester Prinssenlaan 12 Raamsdonksveer;;;;;;;;NL-0834-931011;Tekening (technisch);Melding tekening vergroten woning  Burgemeester Prinssenlaan 12 Raamsdonksveer 5-4-1993;1993.04.05;vergroten woning  Burgemeester Prinssenlaan 12 Raamsdonksveer 5-4-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;d7f98962d8635e53782c7860d8fff24d0bcdbd9f;;SHA-1;Niet vertrouwelijk ;;1993.04.20;NL-0834-931012;GDB-9259-01;GDB-9259-01
GDB-9259-01;;;4944 VV;Dijkgraafstraat 3 Raamsdonk;;;;;;;;NL-0834-931012;Beschikking;Melding beschikking oprichten schuur Dijkgraafstraat 3 Raamsdonk 20-4-1993;1993.04.20;oprichten schuur Dijkgraafstraat 3 Raamsdonk 20-4-1993;;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;0ea3da91676d2bcd4221e37a65e76176e5184a3b;;SHA-1;Niet vertrouwelijk ;;1993.04.20;NL-0834-931012;GDB-9259-02;GDB-9259-02
GDB-9259-02;;;4944 VV;Dijkgraafstraat 3 Raamsdonk;;;;;;;;NL-0834-931012;Tekening (technisch);Melding tekening oprichten schuur Dijkgraafstraat 3 Raamsdonk 20-4-1993;1993.04.20;oprichten schuur Dijkgraafstraat 3 Raamsdonk 20-4-1993;;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;baf243428b4117ecbc39361b70d9a271fa9bf7b8;;SHA-1;Niet vertrouwelijk ;;1993.04.20;NL-0834-931013;GDB-9260-01;GDB-9260-01
